Exercício;Entidade;Empenhado;Estornado;Reversão;Líquido
2023;Prefeitura do Município de Londrina;"1.829.442.044,11";"53.776.683,61";"18.734,63";"1.775.684.095,13"
2023 total;;"1.829.442.044,11";"53.776.683,61";"18.734,63";"1.775.684.095,13"
