Exercício;Entidade;Liquidado - Orçamento;Estornado - Orçamento;Liquidado - Restos a pagar;Estornado - Restos a pagar;Líquido
2023;Prefeitura do Município de Londrina;"1.565.239.732,27";"25.478.472,47";"168.653.983,93";"10.593.179,19";"1.697.822.064,54"
2023 total;;"1.565.239.732,27";"25.478.472,47";"168.653.983,93";"10.593.179,19";"1.697.822.064,54"
